ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2020-10-05,2020-10-11,2020-10-05,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Vič,Osnovna šola Vič,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-10,2020-10-05,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Osnovna šola Franceta Prešerna Črenšovci,"Osnovna šola Franceta Prešerna Črenšovci, Enota Vrtec Črenšovci",Pomurska,Črenšovci,2020-10-05,2020-10-11,2020-10-05,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,kratko,2020_41
Osnovna šola Ivana Groharja,Osnovna šola Ivana Groharja,Gorenjska,Škofja Loka,2020-10-06,2020-10-06,2020-10-06,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Gimnazija Vič,Gimnazija Vič,Osrednjeslovenska,Ljubljana,2020-10-05,2020-10-11,2020-10-06,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Škofljica,Osnovna šola Škofljica,Osrednjeslovenska,Škofljica,2020-10-06,2020-10-12,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Osnovna šola Riharda Jakopiča Ljubljana,Osnovna šola Riharda Jakopiča Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-06,2020-10-11,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Vrtec Mengeš,"Vrtec Mengeš, enota Gobica",Osrednjeslovenska,Mengeš,2020-10-06,2020-10-16,2020-10-06,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2020_41
VIZ Osnovna šola Rogatec,VIZ Osnovna šola Rogatec,Savinjska,Rogatec,2020-10-03,2020-10-12,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,srednje,2020_41
"Šolski center za pošto, ekonomijo in telekomunikacije Ljubljana","Šolski center za pošto, ekonomijo in telekomunikacije Ljubljana, Srednja tehniška in strokovna šola",Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-10,2020-10-06,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2020-10-06,2020-10-11,2020-10-06,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Gimnazija Šiška,Gimnazija Šiška,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-11,2020-10-06,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Osnovna šola Dušana Muniha Most na Soči,"Osnovna šola Dušana Muniha Most na Soči, Podružnična šola Podmelec",Goriška,Tolmin,2020-09-30,2020-10-09,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Osnovna šola Dušana Muniha Most na Soči,Osnovna šola Dušana Muniha Most na Soči,Goriška,Tolmin,2020-09-30,2020-10-09,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Ekonomska gimnazija in srednja šola Radovljica,Ekonomska gimnazija in srednja šola Radovljica,Gorenjska,Radovljica,2020-10-05,2020-10-06,2020-10-06,SREDNJA ŠOLA,veliko,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Leona Štuklja Maribor,Osnovna šola Leona Štuklja Maribor,Podravska,Maribor,2020-10-05,2020-10-08,2020-10-06,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Osnovna šola Šentjernej,Osnovna šola Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-10-07,2020-10-11,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Osnovna šola Kašelj,Osnovna šola Kašelj,Osrednjeslovenska,Ljubljana,2020-10-04,2020-10-14,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Osnovna šola Kašelj,Osnovna šola Kašelj,Osrednjeslovenska,Ljubljana,2020-10-04,2020-10-09,2020-10-06,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
VIZ Osnovna šola Rogatec,VIZ Osnovna šola Rogatec Podružnična šola Donačka gora,Savinjska,Rogatec,2020-10-03,2020-10-12,2020-10-06,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_41
Osnovna šola Leona Štuklja Maribor,Osnovna šola Leona Štuklja Maribor,Podravska,Maribor,2020-10-05,2020-10-08,2020-10-06,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
VIZ Osnovna šola Rogatec,VIZ Osnovna šola Rogatec,Savinjska,Rogatec,2020-10-06,2020-10-13,2020-10-06,OSNOVNA ŠOLA,srednje,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Sum na okužbo s Covid-19 pri učitelju,srednje,2020_41
Gimnazija Ledina,Gimnazija Ledina,Osrednjeslovenska,Ljubljana,2020-10-07,2020-10-11,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Lava Celje,Osnovna šola Lava Celje,Savinjska,Celje,2020-10-07,2020-10-14,2020-10-07,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Osnovna šola Lava Celje,Osnovna šola Lava Celje,Savinjska,Celje,2020-10-07,2020-10-14,2020-10-07,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
"Zavod Salesianum, OE Glasbena šola Rakovnik","Zavod Salesianum, OE Glasbena šola Rakovnik",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-13,2020-10-07,GLASBENA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2020-10-07,2020-10-11,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
"Zavod Salesianum, OE Glasbena šola Rakovnik","Zavod Salesianum, OE Glasbena šola Rakovnik",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-13,2020-10-07,GLASBENA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2020-10-07,2020-10-11,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Matije Čopa Kranj,Osnovna šola Matije Čopa Kranj,Gorenjska,Kranj,2020-10-07,2020-10-10,2020-10-07,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Ekonomska šola Celje,"Ekonomska šola Celje, Gimnazija in srednja šola",Savinjska,Celje,2020-10-05,2020-10-14,2020-10-07,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-09,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-10-07,2020-10-08,2020-10-07,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,kratko,2020_41
Gimnazija Šiška,Gimnazija Šiška,Osrednjeslovenska,Ljubljana,2020-10-07,2020-10-11,2020-10-07,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2020-10-05,2020-10-14,2020-10-07,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Gimnazija Ledina,Gimnazija Ledina,Osrednjeslovenska,Ljubljana,2020-10-07,2020-10-12,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Frana Albrehta Kamnik,Osnovna šola Frana Albrehta Kamnik,Osrednjeslovenska,Kamnik,2020-10-08,2020-10-11,2020-10-07,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Prometna šola Maribor,"Prometna šola Maribor, Srednja prometna šola in dijaški dom",Podravska,Maribor,2020-10-08,2020-10-14,2020-10-07,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
