ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
I. gimnazija v Celju,I. gimnazija v Celju,Savinjska,Celje,2021-04-19,2021-04-28,2021-04-21,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Hajdina,Osnovna šola Hajdina,Podravska,Hajdina,2021-04-18,2021-04-28,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Hajdina,Osnovna šola Hajdina,Podravska,Hajdina,2021-04-21,2021-04-28,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Pod goro Slovenske Konjice,Osnovna šola Pod goro Slovenske Konjice,Savinjska,Slovenske Konjice,2021-04-21,2021-04-30,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
"VRTEC TEZNO- UPRAVA , ENOTA MIŠMAŠ",VRTEC TEZNO ENOTA LUPINICA VRTEC IN JASLI,Podravska,Maribor,2021-04-16,2021-04-26,2021-04-21,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Osnovna šola Matije Valjavca Preddvor,Osnovna šola Matije Valjavca Preddvor,Gorenjska,Preddvor,2021-04-21,2021-04-28,2021-04-21,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Gimnazija Lava",Savinjska,Celje,2021-04-20,2021-04-28,2021-04-21,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Črna na Koroškem,Osnovna šola Črna na Koroškem,Koroška,Črna na Koroškem,2021-04-19,2021-04-23,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_16
Osnovna šola Notranjski odred Cerknica,"Osnovna šola Notranjski odred Cerknica, Podružnična šola 11.maj Grahovo",Primorsko-notranjska,Cerknica,2021-04-16,2021-04-25,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Črna na Koroškem,Osnovna šola Črna na Koroškem,Koroška,Črna na Koroškem,2021-04-19,2021-04-23,2021-04-21,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_16
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-20,2021-04-30,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Prestranek,Osnovna šola Prestranek,Primorsko-notranjska,Postojna,2021-04-15,2021-04-24,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2021-04-20,2021-04-29,2021-04-21,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Riharda Jakopiča Ljubljana,Osnovna šola Riharda Jakopiča Ljubljana,Osrednjeslovenska,Ljubljana,2021-04-21,2021-04-24,2021-04-21,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Osnovna šola Elvire Vatovec Prade - Koper,"Osnovna šola Elvire Vatovec Prade - Koper, Podružnica Sv. Anton",Obalno-kraška,Koper,2021-04-22,2021-04-30,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-22,2021-04-29,2021-04-22,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-22,2021-04-28,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2021-04-22,2021-05-01,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Elvire Vatovec Prade - Koper,Osnovna šola Elvire Vatovec Prade - Koper,Obalno-kraška,Koper,2021-04-22,2021-04-30,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_16
Osnovna šola Pivka,VRTEC PRI OŠ PIVKA,Primorsko-notranjska,Pivka,2021-04-20,2021-04-30,2021-04-22,VRTEC,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Vič,Osnovna šola Vič,Osrednjeslovenska,Ljubljana,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Vič,Osnovna šola Vič,Osrednjeslovenska,Ljubljana,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Dobrna,"Osnovna šola Dobrna, Enota Vrtec Dobrna",Savinjska,Dobrna,2021-04-21,2021-04-29,2021-04-22,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Glazija,Osnovna šola Glazija,Savinjska,Celje,2021-04-22,2021-04-30,2021-04-22,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-15,2021-04-22,2021-04-22,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
"Zavod Sv. Jerneja, Vrtec Blaže in Nežica","Zavod Sv. Jerneja, Vrtec Blaže in Nežica",Podravska,Slovenska Bistrica,2021-04-16,2021-04-28,2021-04-22,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_16
"Zavod Sv. Jerneja, Vrtec Blaže in Nežica","Zavod Sv. Jerneja, Vrtec Blaže in Nežica",Podravska,Slovenska Bistrica,2021-04-19,2021-04-28,2021-04-22,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Osnovna šola Selnica ob Dravi,Osnovna šola Selnica ob Dravi,Podravska,Selnica ob Dravi,2021-04-21,2021-04-28,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Dobje,Osnovna šola Dobje,Savinjska,Dobje,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Dobje,Osnovna šola Dobje,Savinjska,Dobje,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Gimnazija Jožeta Plečnika Ljubljana,Gimnazija Jožeta Plečnika Ljubljana,Osrednjeslovenska,Ljubljana,2021-04-20,2021-04-29,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
I. gimnazija v Celju,I. gimnazija v Celju,Savinjska,Celje,2021-04-21,2021-04-30,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, SAPRAMIŠKA",Jugovzhodna Slovenija,Novo mesto,2021-04-21,2021-04-30,2021-04-22,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Osnovna šola Šmarjeta,"Osnovna šola Šmarjeta, Enota Vrtec Sonček",Jugovzhodna Slovenija,Šmarješke Toplice,2021-04-20,2021-04-29,2021-04-22,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Srednja šola za storitvene dejavnosti in logistiko",Savinjska,Celje,2021-04-20,2021-04-29,2021-04-22,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Trebnje,Osnovna šola Trebnje,Jugovzhodna Slovenija,Trebnje,2021-04-22,2021-05-01,2021-04-22,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Srednja šola za strojništvo, mehatroniko in medije",Savinjska,Celje,2021-04-21,2021-04-29,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Gimnazija Lava",Savinjska,Celje,2021-04-20,2021-04-30,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
"VRTEC TEZNO- UPRAVA , ENOTA MIŠMAŠ","VRTEC TEZNO, ENOTA PEDENJPED VRTEC IN JASLI",Podravska,Maribor,2021-04-21,2021-05-01,2021-04-22,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Osnovna šola Dante Alighieri Izola,Osnovna šola Dante Alighieri Izola,Obalno-kraška,Izola,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola prof. dr. Josipa Plemlja Bled,Osnovna šola prof. dr. Josipa Plemlja Bled,Gorenjska,Bled,2021-04-21,2021-04-22,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Vrtec Vodmat,Vrtec Vodmat,Osrednjeslovenska,Ljubljana,2021-04-22,2021-04-29,2021-04-22,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Osnovna šola Janka Modra Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani,Osrednjeslovenska,Dol pri Ljubljani,2021-04-22,2021-04-29,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Vrtec Črnuče,"Vrtec Črnuče, ENOTA SONČEK",Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-24,2021-04-22,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Vrtec Semedela,"Vrtec Semedela, enota Rozmanova",Obalno-kraška,Koper,2021-04-19,2021-04-28,2021-04-22,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Dvojezična osnovna šola I Lendava,Dvojezična osnovna šola I Lendava,Pomurska,Lendava,2021-04-22,2021-04-23,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Osnovna šola Dekani,Osnovna šola Dekani,Obalno-kraška,Koper,2021-04-19,2021-04-30,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Vrtec Tončke Čečeve Celje,"Vrtec Tončke Čečeve, ENOTA CENTER",Savinjska,Celje,2021-04-20,2021-04-29,2021-04-22,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Gimnazija Vič,Gimnazija Vič,Osrednjeslovenska,Ljubljana,2021-04-21,2021-04-28,2021-04-22,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Domžale,Osnovna šola Domžale,Osrednjeslovenska,Domžale,2021-04-20,2021-04-29,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Belokranjskega odreda Semič,Osnovna šola Belokranjskega odreda Semič,Jugovzhodna Slovenija,Semič,2021-04-22,2021-05-01,2021-04-22,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
"Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana","Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana",Osrednjeslovenska,Ljubljana,2021-04-23,2021-05-03,2021-04-22,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Vrtec Radovljica,"Vrtec Radovljica, Enota Brezje",Gorenjska,Radovljica,2021-04-15,2021-04-24,2021-04-23,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Vrtec Laško,"Vrtec Laško, ENOTA DEBRO",Savinjska,Laško,2021-04-22,2021-05-01,2021-04-23,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Grm Novo mesto - center biotehnike in turizma,"Grm Novo mesto - center biotehnike in turizma, Srednja šola za gostinstvo in turizem",Jugovzhodna Slovenija,Novo mesto,2021-04-22,2021-04-29,2021-04-23,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-22,2021-05-02,2021-04-23,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Srednja šola Zagorje,Srednja šola Zagorje,Zasavska,Zagorje ob Savi,2021-04-22,2021-05-01,2021-04-23,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_16
Osnovna šola Žirovnica,Osnovna šola Žirovnica,Gorenjska,Žirovnica,2021-04-21,2021-05-01,2021-04-23,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Vrtec Laško,"Vrtec Laško, ENOTA DEBRO",Savinjska,Laško,2021-04-22,2021-05-01,2021-04-23,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Srednja šola za kemijo, elektrotehniko in računalništvo",Savinjska,Celje,2021-04-21,2021-05-02,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
I. gimnazija v Celju,I. gimnazija v Celju,Savinjska,Celje,2021-04-20,2021-04-29,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Gimnazija Celje - Center,Gimnazija Celje - Center,Savinjska,Celje,2021-04-22,2021-04-30,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Vrtec Radovljica,"Vrtec Radovljica, Enota Kropa",Gorenjska,Radovljica,2021-04-16,2021-04-25,2021-04-23,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Šolski center Celje,"Šolski center Celje, Gimnazija Lava",Savinjska,Celje,2021-04-22,2021-05-01,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Leona Štuklja Maribor,Osnovna šola Leona Štuklja Maribor,Podravska,Maribor,2021-04-23,2021-04-28,2021-04-23,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
I. gimnazija v Celju,I. gimnazija v Celju,Savinjska,Celje,2021-04-22,2021-05-01,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Gimnazija in ekonomska srednja šola Trbovlje,Gimnazija in ekonomska srednja šola Trbovlje,Zasavska,Trbovlje,2021-04-23,2021-05-03,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Osnovna šola Drska,Osnovna šola Drska,Jugovzhodna Slovenija,Novo mesto,2021-04-22,2021-04-30,2021-04-23,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Srednja šola za gostinstvo in turizem Maribor,Srednja šola za gostinstvo in turizem Maribor,Podravska,Maribor,2021-04-22,2021-04-28,2021-04-23,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_16
Osnovna šola Trbovlje,Osnovna šola Trbovlje,Zasavska,Trbovlje,2021-04-14,2021-04-24,2021-04-23,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-22,2021-05-02,2021-04-23,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja zdravstvena in kemijska šola",Jugovzhodna Slovenija,Novo mesto,2021-04-23,2021-05-02,2021-04-23,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_16
Vrtec Radovljica,"Vrtec Radovljica, Enota Brezje",Gorenjska,Radovljica,2021-04-20,2021-04-29,2021-04-23,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_16
"Modrinček, zasebni vrtec, d.o.o.","Modrinček, zasebni vrtec, d.o.o.",Jugovzhodna Slovenija,Novo mesto,2021-04-24,2021-04-24,2021-04-24,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,kratko,2021_16
Vrtec Lendava Lendvai Ovoda,"Vrtec Lendava Lendvai Ovoda, DE II LENDAVA",Pomurska,Lendava,2021-04-24,2021-05-02,2021-04-24,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
"Modrinček, zasebni vrtec, d.o.o.","Modrinček, zasebni vrtec, d.o.o.",Jugovzhodna Slovenija,Novo mesto,2021-04-24,2021-04-24,2021-04-24,VRTEC,srednje,Otroci oddelka so v domači karanteni,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,kratko,2021_16
I. osnovna šola Žalec,I. osnovna šola Žalec,Savinjska,Žalec,2021-04-23,2021-04-30,2021-04-24,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-23,2021-05-02,2021-04-24,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
"Zavod Sv. Jerneja, Vrtec Blaže in Nežica","Zavod Sv. Jerneja, Vrtec Blaže in Nežica",Podravska,Slovenska Bistrica,2021-04-21,2021-05-01,2021-04-24,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_16
Osnovna šola Idrija,Osnovna šola Idrija,Goriška,Idrija,2021-04-22,2021-05-02,2021-04-25,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
"Modra pikica, Zavod za izobraževanje","Modra pikica, Zavod za izobraževanje, PE Hiša otrok Bežigrad 2, zasebni montessori vrtec, enota",Osrednjeslovenska,Ljubljana,2021-04-23,2021-05-02,2021-04-25,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_16
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,"Osnovna šola dr.Janeza Mencingerja Bohinjska Bistrica, Enota Vrtec",Gorenjska,Bohinj,2021-04-23,2021-05-02,2021-04-25,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-25,2021-05-01,2021-04-25,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-24,2021-04-30,2021-04-25,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_16
Osnovna šola Idrija,Osnovna šola Idrija,Goriška,Idrija,2021-04-23,2021-05-03,2021-04-25,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_16
Vrtec Kočevje,"Vrtec Kočevje, Enota Kekec",Jugovzhodna Slovenija,Kočevje,2021-04-21,2021-04-30,2021-04-26,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_17
Osnovna šola Prežihovega Voranca Ravne na Koroškem,Osnovna šola Prežihovega Voranca Ravne na Koroškem,Koroška,Ravne na Koroškem,2021-04-21,2021-05-02,2021-04-26,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Prežihovega Voranca Ravne na Koroškem,Osnovna šola Prežihovega Voranca Ravne na Koroškem,Koroška,Ravne na Koroškem,2021-04-21,2021-04-30,2021-04-26,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Litija,Osnovna šola Litija,Zasavska,Litija,2021-04-23,2021-05-01,2021-04-26,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_17
Osnovna šola Šentjernej,Osnovna šola Šentjernej,Jugovzhodna Slovenija,Šentjernej,2021-04-22,2021-05-02,2021-04-26,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Kolezija,Osnovna šola Kolezija,Osrednjeslovenska,Ljubljana,2021-04-22,2021-05-01,2021-04-27,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Kolezija,Osnovna šola Kolezija,Osrednjeslovenska,Ljubljana,2021-04-21,2021-04-30,2021-04-27,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Kolezija,Osnovna šola Kolezija,Osrednjeslovenska,Ljubljana,2021-04-20,2021-04-29,2021-04-27,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-23,2021-05-03,2021-04-27,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
Osnovna šola Simona Jenka Kranj,Osnovna šola Simona Jenka Kranj,Gorenjska,Kranj,2021-04-23,2021-05-02,2021-04-28,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_17
