ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Šolski center Celje,"Šolski center Celje, Gimnazija Lava",Savinjska,Celje,2021-04-14,2021-04-24,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Domžale,"Osnovna šola Domžale, Podružnična šola Ihan",Osrednjeslovenska,Domžale,2021-03-30,2021-04-08,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Griže,Osnovna šola Griže,Savinjska,Žalec,2021-04-15,2021-04-25,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Tabor I Maribor,Osnovna šola Tabor I Maribor,Podravska,Maribor,2021-04-01,2021-04-19,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2021_15
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-04-11,2021-04-20,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2021-04-14,2021-04-24,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Cerkno,Osnovna šola Cerkno,Goriška,Cerkno,2021-04-15,2021-04-24,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Antona Bezenška Frankolovo,Osnovna šola Antona Bezenška Frankolovo,Savinjska,Vojnik,2021-04-13,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Nazarje,Osnovna šola Nazarje,Savinjska,Nazarje,2021-04-12,2021-04-15,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,kratko,2021_15
Glasbena šola Risto Savin Žalec,Glasbena šola Risto Savin Žalec,Savinjska,Žalec,2021-04-13,2021-04-22,2021-04-15,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Stična,Osnovna šola Stična,Osrednjeslovenska,Ivančna Gorica,2021-04-13,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Matije Valjavca Preddvor,Osnovna šola Matije Valjavca Preddvor Podružnica Jezersko,Gorenjska,Jezersko,2021-04-05,2021-04-14,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Prule,Osnovna šola Prule,Osrednjeslovenska,Ljubljana,2021-04-13,2021-04-14,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Gimnazija Franca Miklošiča Ljutomer,Gimnazija Franca Miklošiča Ljutomer,Pomurska,Ljutomer,2021-04-13,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Gimnazija Franca Miklošiča Ljutomer,Gimnazija Franca Miklošiča Ljutomer,Pomurska,Ljutomer,2021-04-13,2021-04-23,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Dobrova,Osnovna šola Dobrova,Osrednjeslovenska,Dobrova-Polhov Gradec,2021-04-12,2021-04-16,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Osnovna šola Matije Valjavca Preddvor,Osnovna šola Matije Valjavca Preddvor,Gorenjska,Preddvor,2021-04-10,2021-04-19,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Leona Štuklja Maribor,Osnovna šola Leona Štuklja Maribor,Podravska,Maribor,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Prule,Osnovna šola Prule,Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Frana Albrehta Kamnik,Osnovna šola Frana Albrehta Kamnik,Osrednjeslovenska,Kamnik,2021-04-14,2021-04-24,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Rudolfa Maistra Šentilj,"Osnovna šola Rudolfa Maistra Šentilj, Podružnična šola Ceršak",Podravska,Šentilj,2021-04-06,2021-04-16,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Mirana Jarca Črnomelj,Osnovna šola Mirana Jarca Črnomelj,Jugovzhodna Slovenija,Črnomelj,2021-04-13,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Mirana Jarca Črnomelj,Osnovna šola Mirana Jarca Črnomelj,Jugovzhodna Slovenija,Črnomelj,2021-04-13,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Srednja trgovska šola Ljubljana,Srednja trgovska šola Ljubljana,Osrednjeslovenska,Ljubljana,2021-04-14,2021-04-25,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Tabor I Maribor,Osnovna šola Tabor I Maribor,Podravska,Maribor,2021-04-13,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Gimnazija Jurija Vege Idrija,Gimnazija Jurija Vege Idrija,Goriška,Idrija,2021-04-12,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
"Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana","Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana",Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-25,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Predoslje Kranj,Osnovna šola Predoslje Kranj,Gorenjska,Kranj,2021-04-12,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Tabor I Maribor,Osnovna šola Tabor I Maribor,Podravska,Maribor,2021-04-12,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Tabor I Maribor,Osnovna šola Tabor I Maribor,Podravska,Maribor,2021-04-12,2021-04-19,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Dobrova,Osnovna šola Dobrova,Osrednjeslovenska,Dobrova-Polhov Gradec,2021-04-12,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Biotehniški izobraževalni center Ljubljana,"Biotehniški izobraževalni center Ljubljana, Živilska šola",Osrednjeslovenska,Ljubljana,2021-04-12,2021-04-21,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Biotehniški izobraževalni center Ljubljana,"Biotehniški izobraževalni center Ljubljana, Živilska šola",Osrednjeslovenska,Ljubljana,2021-04-12,2021-04-21,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Ekonomska šola Ljubljana,Ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-24,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Tabor I Maribor,Osnovna šola Tabor I Maribor,Podravska,Maribor,2021-04-12,2021-04-19,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2021-04-14,2021-04-24,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Medvode,Osnovna šola Medvode,Osrednjeslovenska,Medvode,2021-04-12,2021-04-16,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Osnovna šola Dobrova,Osnovna šola Dobrova,Osrednjeslovenska,Dobrova-Polhov Gradec,2021-04-15,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Koroški jeklarji Ravne na Koroškem,Osnovna šola Koroški jeklarji Ravne na Koroškem,Koroška,Ravne na Koroškem,2021-04-15,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Drska,Osnovna šola Drska,Jugovzhodna Slovenija,Novo mesto,2021-04-15,2021-04-24,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Frana Kranjca,Osnovna šola Frana Kranjca,Savinjska,Celje,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Dolenjske Toplice,Osnovna šola Dolenjske Toplice,Jugovzhodna Slovenija,Dolenjske Toplice,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Gorišnica,Osnovna šola Gorišnica,Podravska,Gorišnica,2021-04-12,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Gradec,"Osnovna šola Gradec, Podružnična osnovna šola Vače",Zasavska,Litija,2021-04-06,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2021_15
Vrtci občine Moravske Toplice,"Vrtci Občine Moravske Toplice, enota Moravske Toplice",Pomurska,Moravske Toplice,2021-04-09,2021-04-18,2021-04-15,VRTEC,Sum na okužbo,srednje,2021_15
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, METKA",Jugovzhodna Slovenija,Novo mesto,2021-04-12,2021-04-21,2021-04-15,VRTEC,Sum na okužbo,srednje,2021_15
Šolski center Slovenj Gradec,"Šolski center Slovenj Gradec, Srednja šola Slovenj Gradec in Muta",Koroška,Slovenj Gradec,2021-04-12,2021-04-22,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2021-04-12,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Poljane,Osnovna šola Poljane,Gorenjska,Gorenja vas-Poljane,2021-04-12,2021-04-20,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Poljane,Osnovna šola Poljane,Gorenjska,Gorenja vas-Poljane,2021-04-12,2021-04-15,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2021-04-14,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Vuzenica,Osnovna šola Vuzenica,Koroška,Vuzenica,2021-04-12,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Biotehniška šola Maribor,Biotehniška šola Maribor,Podravska,Maribor,2021-04-14,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Biotehniška šola Maribor,Biotehniška šola Maribor,Podravska,Maribor,2021-04-14,2021-04-23,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Biotehniška šola Rakičan,Biotehniška šola Rakičan,Pomurska,Murska Sobota,2021-04-12,2021-04-16,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,kratko,2021_15
Gimnazija Poljane,Gimnazija Poljane,Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-16,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,kratko,2021_15
Šolski center Velenje,"Šolski center Velenje, Šola za storitvene dejavnosti",Savinjska,Velenje,2021-04-14,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2021-04-06,2021-04-15,2021-04-15,VRTEC,Okužba s Covid-19,srednje,2021_15
Srednja šola Josipa Jurčiča Ivančna Gorica,Srednja šola Josipa Jurčiča Ivančna Gorica,Osrednjeslovenska,Ivančna Gorica,2021-04-14,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Srednja gradbena šola in gimnazija Maribor,Srednja gradbena šola in gimnazija Maribor,Podravska,Maribor,2021-04-14,2021-04-23,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Šolski center Rogaška Slatina,Šolski center Rogaška Slatina,Savinjska,Rogaška Slatina,2021-04-14,2021-04-17,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,kratko,2021_15
Gimnazija in ekonomska srednja šola Trbovlje,Gimnazija in ekonomska srednja šola Trbovlje,Zasavska,Trbovlje,2021-04-14,2021-04-24,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Gorišnica,Osnovna šola Gorišnica,Podravska,Gorišnica,2021-04-09,2021-04-19,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Dolenjske Toplice,Osnovna šola Dolenjske Toplice,Jugovzhodna Slovenija,Dolenjske Toplice,2021-04-12,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Gimnazija Nova Gorica,Gimnazija Nova Gorica,Goriška,Nova Gorica,2021-04-15,2021-05-02,2021-04-15,SREDNJA ŠOLA,Okužba s Covid-19,dolgo,2021_15
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2021-04-14,2021-04-24,2021-04-15,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Brinje Grosuplje,Osnovna šola Brinje Grosuplje,Osrednjeslovenska,Grosuplje,2021-04-09,2021-04-21,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Brusnice,Osnovna šola Brusnice,Jugovzhodna Slovenija,Novo mesto,2021-04-12,2021-04-16,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Osnovna šola Antona Globočnika Postojna,Osnovna šola Antona Globočnika Postojna,Primorsko-notranjska,Postojna,2021-04-13,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Žirovnica,Osnovna šola Žirovnica,Gorenjska,Žirovnica,2021-04-13,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Toneta Pavčka,Osnovna šola Toneta Pavčka,Jugovzhodna Slovenija,Mirna Peč,2021-04-13,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Vrtec Vodmat,Vrtec Vodmat,Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-21,2021-04-15,VRTEC,Okužba s Covid-19,kratko,2021_15
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-12,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Frana Kocbeka Gornji Grad,"Osnovna šola Frana Kocbeka Gornji grad, Podružnica Nova Štifta",Savinjska,Gornji Grad,2021-04-15,2021-04-25,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Prežihovega Voranca Ravne na Koroškem,Osnovna šola Prežihovega Voranca Ravne na Koroškem,Koroška,Ravne na Koroškem,2021-04-14,2021-04-23,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-04-12,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Žirovnica,Osnovna šola Žirovnica,Gorenjska,Žirovnica,2021-04-12,2021-04-22,2021-04-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Kolezija,Osnovna šola Kolezija,Osrednjeslovenska,Ljubljana,2021-04-12,2021-04-21,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Frana Albrehta Kamnik,Osnovna šola Frana Albrehta Kamnik,Osrednjeslovenska,Kamnik,2021-04-15,2021-04-24,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-04-16,2021-04-24,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Lenart",Podravska,Lenart,2021-04-15,2021-04-22,2021-04-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Zbora odposlancev Kočevje,Osnovna šola Zbora odposlancev Kočevje,Jugovzhodna Slovenija,Kočevje,2021-04-15,2021-04-22,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2021-04-05,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2021_15
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-04-16,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Polzela,Osnovna šola Polzela,Savinjska,Polzela,2021-04-15,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-04-14,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2021-04-15,2021-04-24,2021-04-16,VRTEC,Sum na okužbo,srednje,2021_15
Osnovna šola Antona Bezenška Frankolovo,Osnovna šola Antona Bezenška Frankolovo,Savinjska,Vojnik,2021-04-13,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-04-12,2021-04-22,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Loka Črnomelj,Osnovna šola Loka Črnomelj,Jugovzhodna Slovenija,Črnomelj,2021-04-15,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Antona Bezenška Frankolovo,Osnovna šola Antona Bezenška Frankolovo,Savinjska,Vojnik,2021-04-08,2021-04-18,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Janka Modra Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani Podružnica Dolsko,Osrednjeslovenska,Dol pri Ljubljani,2021-04-13,2021-04-22,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2021-04-10,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2021-04-16,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Starše,Osnovna šola Starše,Podravska,Starše,2021-04-16,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Šolski center Slovenske Konjice - Zreče,"Šolski center Slovenske Konjice - Zreče, Gimnazija Slovenske Konjice",Savinjska,Slovenske Konjice,2021-04-16,2021-04-23,2021-04-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Tabor",Podravska,Maribor,2021-04-15,2021-04-24,2021-04-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_15
Vrtec Antona Medveda Kamnik,"Vrtec  Antona Medveda Kamnik, enota Rožle",Osrednjeslovenska,Kamnik,2021-04-08,2021-04-17,2021-04-16,VRTEC,Sum na okužbo,srednje,2021_15
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Tabor",Podravska,Maribor,2021-04-15,2021-04-24,2021-04-16,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Ivana Skvarče,Osnovna šola Ivana Skvarče,Zasavska,Zagorje ob Savi,2021-04-15,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Janka Modra Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani,Osrednjeslovenska,Dol pri Ljubljani,2021-04-12,2021-04-15,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Tabor",Podravska,Maribor,2021-04-15,2021-04-23,2021-04-16,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Drska,Osnovna šola Drska,Jugovzhodna Slovenija,Novo mesto,2021-04-12,2021-04-24,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Konservatorij za glasbo in balet Maribor,"Konservatorij za glasbo in balet Maribor, enota v podr. šoli Tabor",Podravska,Maribor,2021-04-15,2021-04-23,2021-04-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Janka Modra Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani,Osrednjeslovenska,Dol pri Ljubljani,2021-04-16,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Toneta Pavčka,"Osnovna šola Toneta Pavčka, Vrtec Cepetavček",Jugovzhodna Slovenija,Mirna Peč,2021-04-10,2021-04-19,2021-04-16,VRTEC,Sum na okužbo,srednje,2021_15
Osnovna šola Duplek,Osnovna šola Duplek,Podravska,Duplek,2021-04-15,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Duplek,Osnovna šola Duplek,Podravska,Duplek,2021-04-16,2021-04-26,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2021-04-16,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Dekani,Osnovna šola Dekani,Obalno-kraška,Koper,2021-04-14,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2021-04-16,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2021-04-15,2021-04-15,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_15
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2021-04-13,2021-04-21,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Starše,"Osnovna šola Starše, Vrtec Najdihojca Starše",Podravska,Starše,2021-04-16,2021-04-25,2021-04-16,VRTEC,Sum na okužbo,srednje,2021_15
"Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana","Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana",Osrednjeslovenska,Ljubljana,2021-04-09,2021-04-19,2021-04-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Stranje,Osnovna šola Stranje,Osrednjeslovenska,Kamnik,2021-04-16,2021-04-26,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Šolski center Postojna,"Šolski center Postojna, Srednja šola",Primorsko-notranjska,Postojna,2021-04-15,2021-04-25,2021-04-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Gimnazija Bežigrad,"Gimnazija Bežigrad, Gimnazija",Osrednjeslovenska,Ljubljana,2021-04-15,2021-04-24,2021-04-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Gimnazija Franca Miklošiča Ljutomer,Gimnazija Franca Miklošiča Ljutomer,Pomurska,Ljutomer,2021-04-12,2021-04-22,2021-04-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2021-04-09,2021-04-22,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Staneta Žagarja Lipnica,Osnovna šola Staneta Žagarja Lipnica,Gorenjska,Radovljica,2021-04-16,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-04-15,2021-04-24,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Glasbena šola Risto Savin Žalec,Glasbena šola Risto Savin Žalec,Savinjska,Žalec,2021-04-16,2021-04-25,2021-04-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_15
Srednja gostinska in turistična šola Radovljica,Srednja gostinska in turistična šola Radovljica,Gorenjska,Radovljica,2021-04-16,2021-04-26,2021-04-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola F. S. Finžgarja Lesce,Osnovna šola F. S. Finžgarja Lesce,Gorenjska,Radovljica,2021-04-03,2021-04-13,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
Osnovna šola Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju,Podravska,Miklavž na Dravskem polju,2021-04-16,2021-04-23,2021-04-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_15
Osnovna šola F. S. Finžgarja Lesce,Osnovna šola F. S. Finžgarja Lesce,Gorenjska,Radovljica,2021-04-15,2021-04-25,2021-04-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_15
