ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Gimnazija Šiška,Gimnazija Šiška,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-07,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Zalog,Osnovna šola Zalog,Osrednjeslovenska,Ljubljana,2020-09-24,2020-10-01,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Domžale,Osnovna šola Domžale,Osrednjeslovenska,Domžale,2020-10-03,2020-10-13,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Domžale,Osnovna šola Domžale,Osrednjeslovenska,Domžale,2020-09-30,2020-10-09,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Louisa Adamiča Grosuplje,Osnovna šola Louisa Adamiča Grosuplje,Osrednjeslovenska,Grosuplje,2020-10-01,2020-10-10,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2020-09-24,2020-10-05,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste,Osrednjeslovenska,Komenda,2020-10-02,2020-10-07,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2020-09-25,2020-10-05,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Zadobrova,Osnovna šola Zadobrova,Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-07,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Gimnazija Vič,Gimnazija Vič,Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-10,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Srednja šola Domžale,"Srednja šola Domžale, Poklicna in strokovna šola",Osrednjeslovenska,Domžale,2020-10-02,2020-10-12,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Zalog,Osnovna šola Zalog,Osrednjeslovenska,Ljubljana,2020-09-28,2020-09-30,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-29,2020-10-09,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Ekonomska šola Ljubljana,Ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-11,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-29,2020-10-08,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-29,2020-10-06,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Glasbena šola Radovljica,Glasbena šola Radovljica,Gorenjska,Radovljica,2020-09-28,2020-10-02,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,kratko,2020_40
Vrtec Črnuče,"Vrtec Črnuče, ENOTA OSTRŽEK",Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-09,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Glasbena šola Celje,Glasbena šola Celje,Savinjska,Celje,2020-09-23,2020-10-02,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2020-09-18,2020-10-08,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Osnovna šola Prebold,"Osnovna šola Prebold, enota Vrtec",Savinjska,Prebold,2020-10-02,2020-10-12,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Vrtec Ravne na Koroškem,"Vrtec Ravne na Koroškem, ENOTA AJDA",Koroška,Ravne na Koroškem,2020-09-28,2020-10-08,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Vrtec Ravne na Koroškem,"Vrtec Ravne na Koroškem, ENOTA AJDA",Koroška,Ravne na Koroškem,2020-09-14,2020-09-24,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Vrtec Ravne na Koroškem,"Vrtec Ravne na Koroškem, ENOTA SOLZICE",Koroška,Ravne na Koroškem,2020-09-30,2020-10-09,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Šolski center Celje,"Šolski center Celje, Srednja šola za storitvene dejavnosti in logistiko",Savinjska,Celje,2020-09-30,2020-10-09,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Zalog,Osnovna šola Zalog,Osrednjeslovenska,Ljubljana,2020-09-25,2020-09-30,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-08,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste,Osrednjeslovenska,Komenda,2020-09-27,2020-10-02,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-09-27,2020-09-30,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,kratko,2020_40
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-10-01,2020-10-11,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-10,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-09-30,2020-10-16,2020-10-02,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_40
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2020-09-30,2020-10-09,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Frana Albrehta Kamnik,Osnovna šola Frana Albrehta Kamnik,Osrednjeslovenska,Kamnik,2020-10-01,2020-10-14,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Cvetka Golarja Škofja Loka,Osnovna šola Cvetka Golarja Škofja Loka Podružnica Reteče,Gorenjska,Škofja Loka,2020-10-02,2020-10-16,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Osnovna šola Vavta vas,Osnovna šola Vavta vas,Jugovzhodna Slovenija,Straža,2020-09-27,2020-10-06,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2020-10-01,2020-10-10,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Dolenjske Toplice,Osnovna šola Dolenjske Toplice,Jugovzhodna Slovenija,Dolenjske Toplice,2020-10-01,2020-10-12,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-09-28,2020-10-08,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Vrtec Krško,"Vrtec Krško, enota Zdole",Posavska,Krško,2020-09-28,2020-10-02,2020-10-02,VRTEC,Sum na okužbo,kratko,2020_40
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2020-09-25,2020-10-12,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Vrtec Jesenice,"Vrtec Jesenice, VVE Julke Pibernik",Gorenjska,Jesenice,2020-10-02,2020-10-16,2020-10-02,VRTEC,Sum na okužbo,dolgo,2020_40
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2020-10-02,2020-10-10,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
