Sequence,Support,Relative Frequency
"{10 days}, {10 days}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {1. letnik}",6,0.5454545454545454
"{9 days, srednje}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {1. letnik}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}, {9 days}",6,0.5454545454545454
"{malo}, {10 days, srednje}",6,0.5454545454545454
"{srednje}, {9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{10 days, malo}, {10 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days, srednje}",7,0.6363636363636364
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {srednje}",7,0.6363636363636364
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",6,0.5454545454545454
"{srednje}, {10 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{srednje}, {9 days}, {9 days}",6,0.5454545454545454
"{srednje}, {4. letnik}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {zelo malo}",7,0.6363636363636364
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {1. letnik}",6,0.5454545454545454
"{10 days, malo}, {2. star. obd.}",6,0.5454545454545454
"{srednje}, {4. letnik, Okužba s Covid-19 pri drugem strokovnem delavcu}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {zelo malo}",6,0.5454545454545454
"{10 days, malo}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {malo}, {zelo malo}",6,0.5454545454545454
"{srednje}, {9 days, srednje}",6,0.5454545454545454
"{srednje}, {zelo malo}, {srednje}",6,0.5454545454545454
"{9 days}, {9 days, srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",6,0.5454545454545454
"{10 days}, {10 days, srednje}",6,0.5454545454545454
"{srednje}, {srednje}, {zelo malo}",7,0.6363636363636364
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {1. letnik}",6,0.5454545454545454
"{srednje}, {srednje}, {5 days}",6,0.5454545454545454
"{9 days}, {srednje}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {1. razred}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",6,0.5454545454545454
