Sequence,Support,Relative Frequency
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {dolgo}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {kratko}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {dolgo}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {VRTEC}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {srednje}",3,1.0
"{VRTEC}, {dolgo}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {dolgo}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {VRTEC}",3,1.0
"{Okužba pri zaposlenem}, {srednje}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {kratko}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {kratko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {srednje}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {dolgo}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {srednje}",3,1.0
"{VRTEC}, {dolgo}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {malo}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {dolgo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {malo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
