Rule,Confidence
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {VRTEC}",1.0
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {VRTEC}",1.0
"{VRTEC} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {VRTEC}",1.0
"{OSNOVNA ŠOLA}, {VRTEC} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {VRTEC} => {OSNOVNA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {VRTEC}, {dolgo}",1.0
"{VRTEC} => {OSNOVNA ŠOLA}, {dolgo}",1.0
"{dolgo} => {OSNOVNA ŠOLA}, {VRTEC}",1.0
"{OSNOVNA ŠOLA}, {VRTEC} => {dolgo}",1.0
"{OSNOVNA ŠOLA}, {dolgo} => {VRTEC}",1.0
"{VRTEC}, {dolgo} => {OSNOVNA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {SREDNJA ŠOLA}, {VRTEC}",1.0
"{SREDNJA ŠOLA} => {GLASBENA ŠOLA}, {VRTEC}",1.0
"{VRTEC} => {GLASBENA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA}, {SREDNJA ŠOLA} => {VRTEC}",1.0
"{GLASBENA ŠOLA}, {VRTEC} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {VRTEC} => {GLASBENA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {Okužba s Covid-19}, {kratko}",1.0
"{Okužba s Covid-19} => {GLASBENA ŠOLA}, {kratko}",1.0
"{kratko} => {GLASBENA ŠOLA}, {Okužba s Covid-19}",1.0
"{GLASBENA ŠOLA}, {Okužba s Covid-19} => {kratko}",1.0
"{GLASBENA ŠOLA}, {kratko} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {kratko} => {GLASBENA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {dolgo}, {kratko}",1.0
"{dolgo} => {OSNOVNA ŠOLA}, {kratko}",1.0
"{kratko} => {OSNOVNA ŠOLA}, {dolgo}",1.0
"{OSNOVNA ŠOLA}, {dolgo} => {kratko}",1.0
"{OSNOVNA ŠOLA}, {kratko} => {dolgo}",1.0
"{dolgo}, {kratko} => {OSNOVNA ŠOLA}",1.0
"{Sum na okužbo} => {kratko}, {srednje}",1.0
"{kratko} => {Sum na okužbo}, {srednje}",1.0
"{srednje} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo}, {kratko} => {srednje}",1.0
"{Sum na okužbo}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {kratko}",1.0
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {kratko}",1.0
"{kratko} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {kratko}",1.0
"{OSNOVNA ŠOLA}, {kratko} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {kratko} => {OSNOVNA ŠOLA}",1.0
"{VRTEC} => {dolgo}, {kratko}",1.0
"{dolgo} => {VRTEC}, {kratko}",1.0
"{kratko} => {VRTEC}, {dolgo}",1.0
"{VRTEC}, {dolgo} => {kratko}",1.0
"{VRTEC}, {kratko} => {dolgo}",1.0
"{dolgo}, {kratko} => {VRTEC}",1.0
"{OSNOVNA ŠOLA} => {dolgo}, {srednje}",1.0
"{dolgo} => {OSNOVNA ŠOLA}, {srednje}",1.0
"{srednje} => {OSNOVNA ŠOLA}, {dolgo}",1.0
"{OSNOVNA ŠOLA}, {dolgo} => {srednje}",1.0
"{OSNOVNA ŠOLA}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {OSNOVNA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {SREDNJA ŠOLA}",1.0
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",1.0
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {Okužba s Covid-19}",1.0
