Rule,Confidence
"{Sum na okužbo}, {dolgo} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo} => {Drugi delavci}, {Učitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Sum na okužbo}",1.0
"{Drugi delavci}, {Sum na okužbo} => {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {Učitelj} => {Drugi delavci}",1.0
"{Sum na okužbo} => {Učitelj}, {srednje}",1.0
"{Učitelj} => {Sum na okužbo}, {srednje}",1.0
"{srednje} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo}, {Učitelj} => {srednje}",1.0
"{Sum na okužbo}, {srednje} => {Učitelj}",1.0
"{Učitelj}, {srednje} => {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {Vzgojitelj}, {srednje}",1.0
"{Vzgojitelj} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {Vzgojitelj}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {srednje} => {Okužba s Covid-19}",1.0
"{Drugi delavci} => {Učitelj}, {Vzgojitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Drugi delavci}, {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {Učitelj}",1.0
"{Učitelj}, {Vzgojitelj} => {Drugi delavci}",1.0
"{Učitelj} => {kratko}, {srednje}",1.0
"{kratko} => {Učitelj}, {srednje}",1.0
"{srednje} => {Učitelj}, {kratko}",1.0
"{Učitelj}, {kratko} => {srednje}",1.0
"{Učitelj}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Učitelj}",1.0
"{Drugi delavci} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19} => {Drugi delavci}, {Učitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Okužba s Covid-19}",1.0
"{Drugi delavci}, {Okužba s Covid-19} => {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {Učitelj} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Učitelj} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {Učitelj}",1.0
"{Okužba s Covid-19}, {Učitelj} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {Učitelj} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec}, {Okužba s Covid-19} => {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {Učitelj}, {dolgo}",1.0
"{Učitelj} => {Drugi delavci}, {dolgo}",1.0
"{dolgo} => {Drugi delavci}, {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {dolgo}",1.0
"{Drugi delavci}, {dolgo} => {Učitelj}",1.0
"{Učitelj}, {dolgo} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Učitelj}, {Vzgojitelj}",1.0
"{Učitelj} => {Okužba s Covid-19}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19}, {Učitelj} => {Vzgojitelj}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {Učitelj}",1.0
"{Učitelj}, {Vzgojitelj} => {Okužba s Covid-19}",1.0
"{Sum na okužbo} => {dolgo}, {kratko}",1.0
"{dolgo} => {Sum na okužbo}, {kratko}",1.0
"{kratko} => {Sum na okužbo}, {dolgo}",1.0
"{Sum na okužbo}, {dolgo} => {kratko}",1.0
"{Sum na okužbo}, {kratko} => {dolgo}",1.0
"{dolgo}, {kratko} => {Sum na okužbo}",1.0
"{Drugi delavci} => {Učitelj}, {srednje}",1.0
"{Učitelj} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {Učitelj}",1.0
"{Učitelj}, {srednje} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Učitelj}, {dolgo}",1.0
"{Učitelj} => {Okužba s Covid-19}, {dolgo}",1.0
"{dolgo} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19}, {Učitelj} => {dolgo}",1.0
"{Okužba s Covid-19}, {dolgo} => {Učitelj}",1.0
"{Učitelj}, {dolgo} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19} => {Učitelj}, {srednje}",1.0
"{Učitelj} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19}, {Učitelj} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {Učitelj}",1.0
"{Učitelj}, {srednje} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {dolgo}, {srednje}",1.0
"{dolgo} => {Drugi strokovni delavec}, {srednje}",1.0
"{srednje} => {Drugi strokovni delavec}, {dolgo}",1.0
"{Drugi strokovni delavec}, {dolgo} => {srednje}",1.0
"{Drugi strokovni delavec}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {Drugi strokovni delavec}",1.0
"{Sum na okužbo} => {kratko}, {srednje}",1.0
"{kratko} => {Sum na okužbo}, {srednje}",1.0
"{srednje} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo}, {kratko} => {srednje}",1.0
"{Sum na okužbo}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Sum na okužbo}",1.0
"{Drugi strokovni delavec} => {Sum na okužbo}, {Vzgojitelj}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {Vzgojitelj}",1.0
"{Drugi strokovni delavec}, {Vzgojitelj} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {Vzgojitelj} => {Drugi strokovni delavec}",1.0
"{Učitelj} => {dolgo}, {kratko}",1.0
"{dolgo} => {Učitelj}, {kratko}",1.0
"{kratko} => {Učitelj}, {dolgo}",1.0
"{Učitelj}, {dolgo} => {kratko}",1.0
"{Učitelj}, {kratko} => {dolgo}",1.0
"{dolgo}, {kratko} => {Učitelj}",1.0
"{Drugi strokovni delavec} => {Okužba s Covid-19}, {kratko}",1.0
"{Okužba s Covid-19} => {Drugi strokovni delavec}, {kratko}",1.0
"{kratko} => {Drugi strokovni delavec}, {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec}, {Okužba s Covid-19} => {kratko}",1.0
"{Drugi strokovni delavec}, {kratko} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {kratko} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec} => {Okužba s Covid-19}, {dolgo}",1.0
"{Okužba s Covid-19} => {Drugi strokovni delavec}, {dolgo}",1.0
"{dolgo} => {Drugi strokovni delavec}, {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec}, {Okužba s Covid-19} => {dolgo}",1.0
"{Drugi strokovni delavec}, {dolgo} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {dolgo} => {Drugi strokovni delavec}",1.0
"{Učitelj} => {dolgo}, {srednje}",1.0
"{dolgo} => {Učitelj}, {srednje}",1.0
"{srednje} => {Učitelj}, {dolgo}",1.0
"{Učitelj}, {dolgo} => {srednje}",1.0
"{Učitelj}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {Učitelj}",1.0
"{Drugi delavci} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Drugi strokovni delavec} => {Drugi delavci}, {Učitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Drugi strokovni delavec}",1.0
"{Drugi delavci}, {Drugi strokovni delavec} => {Učitelj}",1.0
